season,conf,home_hca
2022,Slnd,8.434693027877294
2022,CAA,2.956187388085208
2022,P12,3.5607032227525592
2022,NEC,7.71544363792254
2022,AE,4.39625454594861
2022,SEC,4.726129800409532
2022,SB,6.996691271928062
2022,Pat,4.647477963226875
2022,WAC,5.576342641818341
2022,MWC,3.8698897835691026
2022,Ivy,5.384815333778888
2022,OVC,6.311893570575316
2022,BE,4.348644372880963
2022,WCC,4.49739541875105
2022,ACC,3.2863137890682084
2022,A10,3.36011428340958
2022,MVC,5.29307621223362
2022,Sum,6.807281740062486
2022,MAAC,3.8166781704086223
2022,Amer,4.633007526939616
2022,ASun,8.726937525509827
2022,BSth,7.062762740743856
2022,BW,5.845087844010028
2022,MEAC,9.251232411406706
2022,SWAC,7.942518037436582
2022,Horz,2.374183416859955
2022,BSky,5.053085303692345
2022,B10,3.682281956196989
2022,SC,5.366532401817032
2022,B12,4.812314155442938
2022,CUSA,5.041950688816072
2022,MAC,4.362623897492636
2023,SB,6.388332900284581
2023,P12,4.041546646325426
2023,WCC,4.106418642452022
2023,Pat,4.584224651346494
2023,MAC,6.307097713081497
2023,SEC,4.644249599586731
2023,AE,8.187784056609168
2023,ACC,4.39918891239849
2023,Amer,3.605206419956477
2023,SC,5.409531966938651
2023,MVC,5.760555151547798
2023,BW,4.83705905807299
2023,BE,3.931738766107612
2023,A10,3.8882703463888526
2023,B10,4.652785895967967
2023,CAA,6.3376971787392
2023,Sum,7.387359712988332
2023,ASun,8.768418438775244
2023,WAC,8.73082874794275
2023,MAAC,3.35420668867387
2023,Horz,4.576241777944563
2023,CUSA,5.468572546624714
2023,BSth,7.061737495979668
2023,B12,5.092321715667304
2023,Slnd,7.558647167163575
2023,MWC,4.275406172869073
2023,SWAC,8.613743524225617
2023,MEAC,11.211904627924895
2023,NEC,6.501102388790967
2023,OVC,8.165600520078698
2023,Ivy,5.5098736193563775
2023,ind,16.611374657389838
2023,BSky,6.512397041604823
2024,WAC,5.466798774049462
2024,MWC,3.7342812779021517
2024,A10,3.8865561692833737
2024,SEC,4.0693442413382375
2024,P12,5.5708045779485404
2024,Pat,2.848876983626746
2024,B12,5.8526634077274995
2024,CAA,4.410910684297781
2024,BW,4.228879328757045
2024,BE,4.293708126113534
2024,B10,5.025941926437727
2024,ACC,4.00478842644702
2024,MAC,5.070269262557882
2024,BSth,5.318943747823058
2024,SC,5.8655246795687965
2024,SB,6.25272049705702
2024,Amer,3.939086122936506
2024,MVC,4.502994314086613
2024,AE,6.535678291857134
2024,Sum,7.0833291467564825
2024,ASun,8.188633557819086
2024,BSky,7.333547164479827
2024,Slnd,6.959510636009002
2024,CUSA,6.798232537299874
2024,OVC,7.338223460983077
2024,Ivy,5.387392513279528
2024,MEAC,9.88750652692732
2024,Horz,3.9276800772147427
2024,SWAC,9.520900663805975
2024,MAAC,4.031382357171558
2024,WCC,5.145091741486429
2024,NEC,7.301196337754634
2024,ind,12.153409090909092
2025,SB,5.451801076259592
2025,WAC,7.3910709322829815
2025,ASun,6.307867390445662
2025,B12,5.908885258750663
2025,A10,4.558138768506665
2025,SEC,6.061210405166466
2025,Pat,6.264306524831904
2025,MWC,5.076600813226552
2025,Ivy,7.114593508343509
2025,ACC,3.932218478331864
2025,CAA,5.32262628536263
2025,Amer,3.7331030436462123
2025,MVC,4.5063992236979855
2025,BE,5.076531211658217
2025,SC,6.730171568627452
2025,WCC,3.6625982468527507
2025,SWAC,12.432723474308693
2025,Horz,6.282333911163422
2025,AE,7.820614900742194
2025,BSky,7.891749642041825
2025,B10,4.69807420792484
2025,Slnd,6.170761909050416
2025,OVC,7.228717465602469
2025,BW,5.881492387540775
2025,BSth,7.439577366463039
2025,CUSA,5.210463921613302
2025,MAAC,3.808930048142389
2025,Sum,7.169345067461683
2025,MEAC,11.773185811164643
2025,NEC,9.643764486708035
2025,MAC,5.768906150719793
2026,WCC,4.892436163740975
2026,MAC,6.023638222213919
2026,CUSA,5.581702886939788
2026,SEC,5.365929816698076
2026,Amer,4.710531750873309
2026,CAA,5.566822701206176
2026,BE,3.638509493792537
2026,MWC,4.0788814694435835
2026,B10,5.065107750551136
2026,MEAC,10.856071356398978
2026,BSth,7.482077071271726
2026,B12,5.7038825801680915
2026,A10,4.959349068383252
2026,NEC,8.11512607766996
2026,ACC,4.3856102088972335
2026,SWAC,11.489888429453577
2026,SC,7.46795498869147
2026,BSky,8.12668994088349
2026,OVC,7.053495743805386
2026,BW,6.64603232477564
2026,Slnd,6.229042799915665
2026,Horz,7.35415330732844
2026,WAC,8.233243571083753
2026,Sum,7.222667762147367
2026,Pat,5.38043799337917
2026,MAAC,5.456094669872988
2026,AE,8.411203436097326
2026,ASun,9.300513439688606
2026,MVC,5.126841857520157
2026,SB,6.52631157608981
2026,Ivy,4.199617492182147
